SMILES	HMDB	HMP2_metab
CCCCCCCCCCCCCC[C@@H](O)[C@@H](O)[C@@H](N)CO	HMDB0004610	phytosphingosine
CC(=O)N[C@@H](CCCNC(N)=N)C(O)=O	HMDB0004620	N-alpha-acetylarginine
CCCCC\C=C/CC(O)C(O)CCCCCCCC(O)=O	HMDB0004704	9.10-diHOME
CCCCCC(O)C(O)C\C=C/CCCCCCCC(O)=O	HMDB0004705	12.13-diHOME
CN(C)C1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	HMDB0004824	"N2,N2-dimethylguanosine"
C[N+]1(C)CCC[C@H]1C([O-])=O	HMDB0004827	proline betaine
CCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)\C=C\CCCCCCCCCCCCC	HMDB0004949	C16:0 Ceramide (d18:1)
CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)\C=C\CCCCCCCCCCCCC	HMDB0004952	C22:0 Ceramide (d18:1)
CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC	HMDB0004953	C24:1 Ceramide (d18:1)
CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)\C=C\CCCCCCCCCCCCC	HMDB0004956	C24:0 Ceramide (d18:1)
NCC1(CC(O)=O)CCCCC1	HMDB0005015	gabapentin
OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1	HMDB0005032	cetrizine
CCCCC\C=C/C\C=C/CCCCCCCCCC(O)=O	HMDB0005060	eicosadienoate
CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	HMDB0005065	C18:1 carnitine
CCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	HMDB0005066	C14 carnitine
[H]C(COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC	HMDB0005356	C48:0 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC	HMDB0005357	C50:0 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCCCCCCCCCC	HMDB0005359	C48:1 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCC	HMDB0005360	C50:1 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCC	HMDB0005362	C51:2 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCC	HMDB0005363	C52:4 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	HMDB0005365	C52:0 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	HMDB0005367	C52:1 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCC	HMDB0005369	C52:2 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCC	HMDB0005370	C54:4 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC	HMDB0005376	C48:2 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC	HMDB0005377	C50:2 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCC	HMDB0005380	C52:5 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC	HMDB0005384	C52:3 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC	HMDB0005385	C54:5 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC	HMDB0005391	C54:6 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	HMDB0005395	C54:1 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	HMDB0005396	C56:1 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCC	HMDB0005398	C56:4 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC	HMDB0005403	C54:2 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC	HMDB0005404	C56:2 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC	HMDB0005405	C54:3 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC	HMDB0005410	C56:3 TAG
[H]C(COC(=O)CCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC	HMDB0005432	C48:3 TAG
[H][C@](COC(=O)CCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC	HMDB0005433	C50:3 TAG
[H][C@](COC(=O)CCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCC	HMDB0005435	C50:4 TAG
[H][C@](COC(=O)CCCCCCC\C=C/CCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCC	HMDB0005436	C52:6 TAG
[H][C@](COC(=O)CCCCCCC\C=C/CCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC	HMDB0005456	C56:6 TAG
[H][C@](COC(=O)CCCCCCC\C=C/CCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC	HMDB0005462	C56:7 TAG
[H][C@](COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC	HMDB0005476	C58:10 TAG
CO[C@@H]1[C@@H](CO)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2N	HMDB0006023	3'-O-methyladenosine
CC(=O)NC(CCC(N)=O)C(O)=O	HMDB0006029	N-acetylglutamine
C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C\C(O)=O	HMDB0006219	13-cis-retinoic acid
NC(=O)CC[C@H](NC(=O)CC1=CC=CC=C1)C(O)=O	HMDB0006344	phenylacetylglutamine
CCCCCCCCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	HMDB0006460	C20 carnitine
CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	HMDB0006469	C18:2 carnitine
[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCCCCCCCC)[C@H](C)CCCC(C)C	HMDB0006725	C14:0 CE
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C	HMDB0006726	C20:4 CE
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C	HMDB0006729	C22:4 CE
CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C	HMDB0006731	C20:5 CE
CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C	HMDB0006733	C22:6 CE
CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CCC3C4CCC([C@H](C)CCCC(C)C)[C@@]4(C)CCC23)C1	HMDB0006736	C20:3 CE
[H][C@](CO)(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC	HMDB0007011	C30:0 DAG
[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC	HMDB0007098	C32:0 DAG
[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC	HMDB0007099	C32:1 DAG
[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	HMDB0007100	C34:0 DAG
[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC	HMDB0007102	C34:1 DAG
[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC	HMDB0007103	C34:2 DAG
[H][C@](CO)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC	HMDB0007128	C32:2 DAG
[H][C@](CO)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC	HMDB0007132	C34:3 DAG
[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	HMDB0007158	C36:0 DAG
[H][C@](CO)(COC(=O)CCCCCCCCC\C=C/CCCCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC	HMDB0007199	C38:5 DAG
[H][C@](CO)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	HMDB0007216	C36:1 DAG
[H][C@](CO)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC	HMDB0007218	C36:2 DAG
[H][C@](CO)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC	HMDB0007219	C36:3 DAG
[H][C@](CO)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC	HMDB0007248	C36:4 DAG
[H][C@@](COC(=O)CCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC	HMDB0007869	C30:0 PC
[H][C@@](COC(=O)CCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC	HMDB0007871	C32:0 PC
CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC	HMDB0007873	C32:1 PC
[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC	HMDB0007970	C34:0 PC
CCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC	HMDB0007972	C34:1 PC
CCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC	HMDB0007973	C34:2 PC
[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC	HMDB0007983	C36:4 PC-A
CCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC	HMDB0007991	C38:6 PC
CCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC	HMDB0008006	C34:3 PC
CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC	HMDB0008038	C36:1 PC
CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC	HMDB0008039	C36:2 PC
CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC	HMDB0008047	C38:3 PC
CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC	HMDB0008048	C38:4 PC
CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC	HMDB0008105	C36:3 PC
CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC	HMDB0008138	C36:4 PC-B
CCCCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC	HMDB0008270	C38:2 PC
[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCCCCCC	HMDB0008923	C32:0 PE
[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCCCCCCCC	HMDB0008925	C34:0 PE
CCCCCCCCCCCCCCCC(=O)N[C@@]([H])(COP(O)(=O)OCC[N+](C)(C)C)[C@]([H])(O)\C=C\CCCCCCCCCCCCC	HMDB0010169	C16:0 SM
CCO[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O	HMDB0010325	ethyl glucuronide
CCCCCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C	HMDB0010368	C18:0 CE
CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C	HMDB0010370	C18:3 CE
CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C	HMDB0010375	C22:5 CE
[H][C@@](O)(COC(=O)CCCCCCCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C	HMDB0010379	C14:0 LPC
[H][C@@](O)(COC(=O)CCCCCCCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C	HMDB0010379	C16:0 LPC
[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C	HMDB0010382	C16:0 LPC
CCCCCC\C=C/CCCCCCCC(=O)OC[C@@]([H])(O)COP([O-])(=O)OCC[N+](C)(C)C	HMDB0010383	C16:1 LPC
[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C	HMDB0010384	C18:0 LPC
CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@@]([H])(O)COP([O-])(=O)OCC[N+](C)(C)C	HMDB0010386	C18:2 LPC
CCCCC\C=C/C\C=C/C\C=C/CCCCC(=O)OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C	HMDB0010387	C18:3 LPC
CCCCCCCC\C=C/CCCCCCCCCC(=O)OC[C@@]([H])(O)COP([O-])(=O)OCC[N+](C)(C)C	HMDB0010391	C20:1 LPC
CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@@]([H])(O)COP([O-])(=O)OCC[N+](C)(C)C	HMDB0010393	C20:3 LPC
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C	HMDB0010395	C20:4 LPC
CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C	HMDB0010397	C20:5 LPC
CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C	HMDB0010404	C22:6 LPC
CCCCCCCCCCCCCC\C=C/OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C	HMDB0010407	C16:1 LPC plasmalogen
[H]C(COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC	HMDB0010411	C46:0 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCCCCCCCC	HMDB0010412	C46:1 TAG
[H]C(COC(=O)CCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCCCCCCCC	HMDB0010419	C46:2 TAG
[H][C@](COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC	HMDB0010471	C50:5 TAG
[H][C@@](COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC	HMDB0010517	C52:7 TAG
[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCCCC)COP(O)(=O)OCCN	HMDB0011130	C18:0 LPE
[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCCCC)COP(O)(=O)OCCN	HMDB0011130	C18:0 LPE-A
[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCCCC)COP(O)(=O)OCCN	HMDB0011130	C18:0 LPE-B
[H][C@](O)(CO)COC(=O)CCCCCCCCCCCCCCCCC	HMDB0011131	C18:0 MAG
CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(CO\C=C/CCCCCCCCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C	HMDB0011208	C34:1 PC plasmalogen
CCCCCCCCCCCCCC\C=C/OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC	HMDB0011210	C34:2 PC plasmalogen
CCCCCCCCCCCCCC\C=C/OC[C@@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC	HMDB0011212	C34:4 PC plasmalogen
CCCCCCCCCCCCCC\C=C/OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC	HMDB0011220	C36:5 PC plasmalogen
CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(CO\C=C/CCCCCCCCCCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C	HMDB0011241	C36:1 PC plasmalogen
CCCCCCCCCCCCCCCC\C=C/OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC	HMDB0011243	C36:2 PC plasmalogen
CCCCCCCCCCCCCCCC\C=C/OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC	HMDB0011252	C38:4 PC plasmalogen
CCCCCCCC\C=C/CCCCCC\C=C/OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC	HMDB0011310	C36:4 PC plasmalogen
[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCC)COP(O)(=O)OCCN	HMDB0011503	C16:0 LPE
[H][C@@](O)(COC(=O)CCCCCCC\C=C/CCCCCC)COP(O)(=O)OCCN	HMDB0011504	C16:1 LPE
[H][C@@](O)(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP(O)(=O)OCCN	HMDB0011506	C18:1 LPE
[H][C@@](O)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP(O)(=O)OCCN	HMDB0011507	C18:2 LPE
[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCCCCCC)COP(O)(=O)OCCN	HMDB0011511	C20:0 LPE
[H][C@@](O)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP(O)(=O)OCCN	HMDB0011517	C20:4 LPE
[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCCCCCCCC)COP(O)(=O)OCCN	HMDB0011520	C22:0 LPE
[H][C@@](O)(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP(O)(=O)OCCN	HMDB0011526	C22:6 LPE
[H][C@](O)(CO)COC(=O)CCCCCCC\C=C/CCCCCC	HMDB0011565	C16:1 MAG
[H][C@](O)(CO)COC(=O)CCCCCCCCCCC\C=C/CCCCCCCC	HMDB0011582	C22:1 MAG
OC(=O)CNC(=O)\C=C\C1=CC=CC=C1	HMDB0011621	cinnamoylglycine
CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@]([H])(COP(O)(=O)OCC[N+](C)(C)C)[C@]([H])(O)\C=C\CCCCCCCCCCCCC	HMDB0011697	C24:0 SM
[H][C@](COC(=O)CCCCCCCCCCCCCC)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCC	HMDB0011701	C51:3 TAG
OC1=CC=C(C=O)C=C1	HMDB0011718	4-hydroxybenzaldehyde
CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCCCC	HMDB0012097	C14:0 SM
CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCCCCCC	HMDB0012101	C18:1 SM
CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP([O-])(=O)OCC[N+](C)(C)C)[C@H](O)\C=C\CCCCCCCCCCCCC	HMDB0012102	C20:0 SM
CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP([O-])(=O)OCC[N+](C)(C)C)[C@H](O)\C=C\CCCCCCCCCCCCC	HMDB0012103	C22:0 SM
CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCC\C=C/CCCCCCCC	HMDB0012104	C22:1 SM
CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC	HMDB0012107	C24:1 SM
CCCCC\C=C/C\C=C/CCCCCCCC(=O)NCCO	HMDB0012252	linoleoyl ethanolamide
CCCCC\C=C/C\C=C/CCCCCCCC(=O)NCCO	HMDB0012252	linoleoylethanolamide
CCCCCCCCCCCCCCCC\C=C/OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C	HMDB0013122	C18:1 LPC plasmalogen
CC(C(O)=O)C(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C	HMDB0013133	C3-DC-CH3 carnitine
NC(=N)NCCC(O)=O	HMDB0013222	beta-guanidinopropionic acid
CC(=O)NCCC1=CN=CN1	HMDB0013253	N-acetylhistamine
CN(C)CCCCC(N)C(O)=O	HMDB0013287	"N6,N6-dimethyllysine"
CCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	HMDB0013288	C9 carnitine
CCCCC\C=C/C=C/C(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	HMDB0013325	C10:2 carnitine
CCCCCCCC\C=C/CCCCCC(O)CC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C	HMDB0013326	C12:1 carnitine
CCCCCCCC\C=C\C=C\CC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C	HMDB0013331	C14:2 carnitine
CCCCCC\C=C/CCCCCCCCCC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C	HMDB0013337	C16-OH carnitine
CCCCCC\C=C/CCCCCCCC(O)CC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C	HMDB0013339	C18:1-OH carnitine
CCCCCCCC\C=C/CCCCCCCCC(O)=O	HMDB0013622	10-nonadecenoate
CCC[C@@H](N)C(O)=O	HMDB0013716	2-aminoheptanoic acid
CC1=CC(C)=C(C)C=C1	HMDB0013733	trimethylbenzene
CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O	HMDB0014420	olmesartan
[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12	HMDB0014611	quinine
NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1	HMDB0015028	sulfapyridine
CC1=NC=C(N1CCO)[N+]([O-])=O	HMDB0015052	metronidazole
CC1=CC(=C(O)C(C)=C1CC1=NCCN1)C(C)(C)C	HMDB0015070	oxymetazoline
