compound_chembl_id,assay_description,standard_type,bao,pchembl_value,target_chembl_id,hgncid,target_name
CHEMBL3392056,PubChem BioAssay. qHTS of alpha-syn Inhibitors. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL6152,SNCA,Alpha-synuclein
CHEMBL324846,PUBCHEM_BIOASSAY: qHTS Assay for Modulators of Lamin A Splicing. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1293235,LMNA,Prelamin-A/C
CHEMBL3391732,PubChem BioAssay. qHTS of GLP-1 Receptor Inverse Agonists (Inhibition Mode). (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1784,GLP1R,Glucagon-like peptide 1 receptor
CHEMBL343633,PUBCHEM_BIOASSAY: qHTS Assay for Modulators of Human Peripheral Myelin Protein 22 (PMP22) Expression/Activity. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.07,CHEMBL1293298,PMP22,Peripheral myelin protein 22
CHEMBL35,TP_TRANSPORTER: inhibition of PAH uptake (Furosemide: 200 uM) in OAT1-expressing HeLa cells,Activity,BAO_0000375,,CHEMBL1641347,SLC22A6,Solute carrier family 22 member 6
CHEMBL343633,PUBCHEM_BIOASSAY: Inhibitors of USP1/UAF1: Pilot qHTS. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504878],Potency,BAO_0000186,,CHEMBL1795087,USP1,Ubiquitin carboxyl-terminal hydrolase 1
CHEMBL3392050,PUBCHEM_BIOASSAY: qHTS Assay for Identification of Small Molecule Agonists for Thrombopoietin (TPO) Signaling Pathway. (Class of assay: confirmatory) [Related pubchem assays: 918 ],Potency,BAO_0000186,4.9,CHEMBL1293256,THPO,Thrombopoietin
CHEMBL3392050,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Fluorescein Labeled MLL-derived Peptide. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.4,CHEMBL2093861,MEN1,Menin/Histone-lysine N-methyltransferase MLL
CHEMBL3392050,PUBCHEM_BIOASSAY: qHTS Screen for Compounds that Selectively Target Cancer Cells with p53 Mutations: Cytotoxicity of p53ts Cells at the Permissive Temperature. (Class of assay: confirmatory) [Related pubchem assays: 902 ],Potency,BAO_0000186,4.9,CHEMBL4096,TP53,Cellular tumor antigen p53
CHEMBL35,"TP_TRANSPORTER: inhibition of E1S uptake (E1S: 0.05 uM, Furosemide: 500 uM) in Xenopus laevis oocytes",Activity,BAO_0000375,,CHEMBL2073677,SLC22A11,Solute carrier family 22 member 11
CHEMBL350221,"PUBCHEM_BIOASSAY: Counterscreen qHTS for Inhibitors of Tau Fibril Formation, Fluorescence Polarization. This assay monitors tau fibrillation by fluorescence polarization (FP) of Alexa 594-labeled K18 P301L, which does not fibrillize readily but incorporates into growing filaments of unlabeled tau. (Class of assay: confirmatory) [Related pubchem assays: 596 ]",Potency,BAO_0000186,4.4,CHEMBL1293224,MAPT,Microtubule-associated protein tau
CHEMBL343633,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Bloom&apos;s syndrome helicase (BLM). (Class of assay: confirmatory) [Related pubchem assays: 593 (Fluorescein region spectral profiling screen), 2386 (Probe Development Summary for Inhibitors of Bloom&apos;s syndrome helicase (BLM)), 594 (Rhodamine region spectral profiling screen), 2364 (qHTS Validation Assay for Inhibitors of Bloom&apos;s syndrome helicase (BLM))]",Potency,BAO_0000186,8.55,CHEMBL1293237,BLM,Bloom syndrome protein
CHEMBL35,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2d6 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL289,CYP2D6,Cytochrome P450 2D6
CHEMBL335062,PubChem BioAssay. A quantitative high throughput screen for small molecules that induce DNA re-replication in MCF 10a normal breast cells. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1293278,GMNN,Geminin
CHEMBL343633,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c19 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL3622,CYP2C19,Cytochrome P450 2C19
CHEMBL324846,TP_TRANSPORTER: inhibition of Ochratoxin A uptake in OAT1-expressing S2 cells,Ki,BAO_0000192,5.27,CHEMBL1641347,SLC22A6,Solute carrier family 22 member 6
CHEMBL3392050,PUBCHEM_BIOASSAY: qHTS Assay for Agonists of the Thyroid Stimulating Hormone Receptor. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.4,CHEMBL1963,TSHR,Thyroid stimulating hormone receptor
CHEMBL3392050,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL3397,CYP2C9,Cytochrome P450 2C9
CHEMBL350221,PUBCHEM_BIOASSAY: qHTS Assay for Modulators of Human Peripheral Myelin Protein 22 (PMP22) Expression/Activity. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.07,CHEMBL1293298,PMP22,Peripheral myelin protein 22
CHEMBL3392074,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Fluorescein Labeled MLL-derived Peptide. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.4,CHEMBL2093861,KMT2A,Menin/Histone-lysine N-methyltransferase MLL
CHEMBL3392072,PUBCHEM_BIOASSAY: qHTS Screen for Compounds that Selectively Target Cancer Cells with p53 Mutations: Cytotoxicity of p53ts Cells at the Nonpermissive Temperature. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.9,CHEMBL4096,TP53,Cellular tumor antigen p53
CHEMBL3391759,PubChem BioAssay. qHTS of TDP-43 Inhibitors. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL2362981,TARDBP,TAR DNA-binding protein 43
CHEMBL324846,TP_TRANSPORTER: inhibition of Ochratoxin A uptake in OAT3-expressing S2 cells,Ki,BAO_0000192,5.07,CHEMBL1641348,SLC22A8,Solute carrier family 22 member 8
CHEMBL3392050,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Fluorescein Labeled MLL-derived Peptide. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.4,CHEMBL2093861,KMT2A,Menin/Histone-lysine N-methyltransferase MLL
CHEMBL3392072,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp1a2 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL3356,CYP1A2,Cytochrome P450 1A2
CHEMBL350221,PUBCHEM_BIOASSAY: qHTS Assay for Agonists of the Thyroid Stimulating Hormone Receptor. (Class of assay: confirmatory) ,Potency,BAO_0000186,5.3,CHEMBL1963,TSHR,Thyroid stimulating hormone receptor
CHEMBL324846,PubChem BioAssay. A quantitative high throughput screen for small molecules that induce DNA re-replication in MCF 10a normal breast cells. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1293278,GMNN,Geminin
CHEMBL350675,PUBCHEM_BIOASSAY: HTS for Inhibitors of HP1-beta Chromodomain Interactions with Methylated Histone Tails. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID488962],Potency,BAO_0000186,,CHEMBL1741193,CBX1,Chromobox protein homolog 1
CHEMBL349105,Agonist activity at human TGR5 expressed in CHO cells by luciferase assay relative to lithocholic acid,Efficacy,BAO_0000656,,CHEMBL5409,GPBAR1,G-protein coupled bile acid receptor 1
CHEMBL3392074,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Fluorescein Labeled MLL-derived Peptide. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.4,CHEMBL2093861,MEN1,Menin/Histone-lysine N-methyltransferase MLL
CHEMBL35,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c19 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL3622,CYP2C19,Cytochrome P450 2C19
CHEMBL3392072,PUBCHEM_BIOASSAY: Inhibitors of USP1/UAF1: Pilot qHTS. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504878],Potency,BAO_0000186,,CHEMBL1795087,USP1,Ubiquitin carboxyl-terminal hydrolase 1
CHEMBL335062,Agonist activity at human TGR5 expressed in CHO cells by luciferase assay relative to lithocholic acid,Efficacy,BAO_0000656,,CHEMBL5409,GPBAR1,G-protein coupled bile acid receptor 1
CHEMBL324846,PUBCHEM_BIOASSAY: qHTS Assay for Agonists of the Thyroid Stimulating Hormone Receptor. (Class of assay: confirmatory) ,Potency,BAO_0000186,5.5,CHEMBL1963,TSHR,Thyroid stimulating hormone receptor
CHEMBL324846,PUBCHEM_BIOASSAY: qHTS Assay for Agonists of the Thyroid Stimulating Hormone Receptor: Activators of Intracellular cAMP Concentrations in Parental HEK 293. (Class of assay: confirmatory) ,Potency,BAO_0000186,5.5,CHEMBL1963,TSHR,Thyroid stimulating hormone receptor
CHEMBL3527524,TP_TRANSPORTER: uptake in Xenopus laevis oocytes,Km,BAO_0000477,,CHEMBL5685,SLC22A1,Solute carrier family 22 member 1
CHEMBL3392072,PUBCHEM_BIOASSAY: qHTS Assay for Agonists of the Thyroid Stimulating Hormone Receptor: Activators of Intracellular cAMP Concentrations in Parental HEK 293. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.5,CHEMBL1963,TSHR,Thyroid stimulating hormone receptor
CHEMBL343633,PUBCHEM_BIOASSAY: qHTS Assay for Identification of Small Molecule Antagonists for NFkB Signaling Pathway. (Class of assay: confirmatory) ,Potency,BAO_0000186,7.4,CHEMBL3251,NFKB1,Nuclear factor NF-kappa-B p105 subunit
CHEMBL343633,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp3a4 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL340,CYP3A4,Cytochrome P450 3A4
CHEMBL3392072,PUBCHEM_BIOASSAY: qHTS Assay for Agonists of the Thyroid Stimulating Hormone Receptor. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.5,CHEMBL1963,TSHR,Thyroid stimulating hormone receptor
CHEMBL350675,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Ubiquitin-specific Protease USP2a. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.9,CHEMBL1293227,USP2,Ubiquitin carboxyl-terminal hydrolase 2
CHEMBL350221,PUBCHEM_BIOASSAY: qHTS Fluorescence Polarization Assay for Inhibitors of MLL CXXC domain - DNA interaction. (Class of assay: confirmatory) [Related pubchem assays: 2698 (Summary assay.)],Potency,BAO_0000186,4.15,CHEMBL1293299,KMT2A,Histone-lysine N-methyltransferase MLL
CHEMBL3392056,"PUBCHEM_BIOASSAY: HTS Assay for Allosteric Agonists of the Human D1 Dopamine Receptor: Primary Screen for Antagonists. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID488989, AID488993, AID488995]",Potency,BAO_0000186,,CHEMBL2056,DRD1,Dopamine D1 receptor
CHEMBL3391714,Agonist activity at human TGR5 expressed in CHO cells by luciferase assay relative to lithocholic acid,Efficacy,BAO_0000656,,CHEMBL5409,GPBAR1,G-protein coupled bile acid receptor 1
CHEMBL35,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL3397,CYP2C9,Cytochrome P450 2C9
CHEMBL3391759,PubChem BioAssay. qHTS of GLP-1 Receptor Inverse Agonists (Inhibition Mode). (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1784,GLP1R,Glucagon-like peptide 1 receptor
CHEMBL350221,PUBCHEM_BIOASSAY: qHTS for Inhibitors of Polymerase Iota. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588623],Potency,BAO_0000186,,CHEMBL5391,POLI,DNA polymerase iota
CHEMBL3392050,PUBCHEM_BIOASSAY: qHTS Assay for Identification of Small Molecule Antagonists for NFkB Signaling Pathway. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.95,CHEMBL3251,NFKB1,Nuclear factor NF-kappa-B p105 subunit
CHEMBL3392050,PubChem BioAssay. qHTS for Inhibitors of human tyrosyl-DNA phosphodiesterase 1 (TDP1): qHTS in cells in presence of CPT. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1075138,TDP1,Tyrosyl-DNA phosphodiesterase 1
CHEMBL3392074,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp1a2 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL3356,CYP1A2,Cytochrome P450 1A2
CHEMBL35,PubChem BioAssay. A quantitative high throughput screen for small molecules that induce DNA re-replication in SW480 colon adenocarcinoma cells. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1293278,GMNN,Geminin
CHEMBL3392050,PubChem BioAssay. qHTS for Inhibitors of human tyrosyl-DNA phosphodiesterase 1 (TDP1): qHTS in cells in absence of CPT. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1075138,TDP1,Tyrosyl-DNA phosphodiesterase 1
CHEMBL3392056,"PUBCHEM_BIOASSAY: Nrf2 qHTS screen for inhibitors: Validation. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID493163, AID504444, AID504648]",Potency,BAO_0000186,,CHEMBL1075094,NFE2L2,Nuclear factor erythroid 2-related factor 2
CHEMBL343633,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp1a2 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,4.5,CHEMBL3356,CYP1A2,Cytochrome P450 1A2
CHEMBL3392050,PUBCHEM_BIOASSAY: qHTS Assay for Identification of Small Molecule Agonists for NFkB Signaling Pathway. (Class of assay: confirmatory) [Related pubchem assays: 895 ],Potency,BAO_0000186,4.95,CHEMBL3251,NFKB1,Nuclear factor NF-kappa-B p105 subunit
CHEMBL35,"TP_TRANSPORTER: inhibition of NEM-GS uptake (NEM-GS: 4 uM, Furosemide: 5000 uM) in membrane vesicles from MRP2-expressing Sf9 cells",Activity,BAO_0000375,,CHEMBL5748,ABCC2,Canalicular multispecific organic anion transporter 1
CHEMBL35,"TP_TRANSPORTER: inhibition of Carnitine uptake (Carnitine: 0.010? uM, Furosemide: 500 uM) in OCTN2-expressing HEK293 cells",Activity,BAO_0000375,,CHEMBL2073693,SLC22A5,Solute carrier family 22 member 5
CHEMBL3392050,PUBCHEM_BIOASSAY: qHTS Assay for Identification of Small Molecule Agonists for Hypoxia Response Element Signaling Pathway. (Class of assay: confirmatory) [Related pubchem assays: 915 ],Potency,BAO_0000186,4.6,CHEMBL4261,HIF1A,Hypoxia-inducible factor 1 alpha
CHEMBL343633,PUBCHEM_BIOASSAY: HTS for Inhibitors of HP1-beta Chromodomain Interactions with Methylated Histone Tails. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID488962],Potency,BAO_0000186,,CHEMBL1741193,CBX1,Chromobox protein homolog 1
CHEMBL350221,PUBCHEM_BIOASSAY: qHTS Assay for Antagonists of the Neuropeptide S Receptor: cAMP Signal Transduction. (Class of assay: confirmatory) ,Potency,BAO_0000186,5.4,CHEMBL5162,NPSR1,Neuropeptide S receptor
CHEMBL350221,PUBCHEM_BIOASSAY: qHTS assay for small molecule antagonists of glucocorticoid receptor signaling. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL2034,NR3C1,Glucocorticoid receptor
CHEMBL350221,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of HADH2 (Hydroxyacyl-Coenzyme A Dehydrogenase, Type II). (Class of assay: confirmatory) ",Potency,BAO_0000186,4.5,CHEMBL4159,HSD17B10,Endoplasmic reticulum-associated amyloid beta-peptide-binding protein
CHEMBL3392050,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2d6 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL289,CYP2D6,Cytochrome P450 2D6
CHEMBL3392050,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of HSD17B4, hydroxysteroid (17-beta) dehydrogenase 4. (Class of assay: confirmatory) ",Potency,BAO_0000186,4.4,CHEMBL4159,HSD17B10,Endoplasmic reticulum-associated amyloid beta-peptide-binding protein
CHEMBL350221,"PUBCHEM_BIOASSAY: qHTS Validation Assay for Inhibitors of Bloom&apos;s syndrome helicase (BLM). (Class of assay: confirmatory) [Related pubchem assays: 593 (Fluorescein region spectral profiling screen), 594 (Rhodamine region spectral profiling screen)]",Potency,BAO_0000186,4.7,CHEMBL1293237,BLM,Bloom syndrome protein
CHEMBL3391759,PubChem BioAssay. qHTS for Inhibitors of human tyrosyl-DNA phosphodiesterase 1 (TDP1): qHTS in cells in presence of CPT. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1075138,TDP1,Tyrosyl-DNA phosphodiesterase 1
CHEMBL343633,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Histone Lysine Methyltransferase G9a. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504404],Potency,BAO_0000186,,CHEMBL6032,EHMT2,"Histone-lysine N-methyltransferase, H3 lysine-9 specific 3"
CHEMBL3392074,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c19 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,4.9,CHEMBL3622,CYP2C19,Cytochrome P450 2C19
CHEMBL343633,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp1a2 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL3356,CYP1A2,Cytochrome P450 1A2
CHEMBL350221,PUBCHEM_BIOASSAY: High Content Imaging Cell-Based qHTS for Inhibitors of the mTORC1 Signaling Pathway in MEF Cells. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.73,CHEMBL2842,MTOR,Serine/threonine-protein kinase mTOR
CHEMBL3392056,PUBCHEM_BIOASSAY: qHTS for Inducers of the Endoplasmic Reticulum Stress Response (ERSR) in Human Glioma: qHTS. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1781865,HSPA5,78 kDa glucose-regulated protein
CHEMBL35,"TP_TRANSPORTER: inhibition of E1S uptake (E1S: 0.05 uM, Furosemide: 5 uM) in Xenopus laevis oocytes",Activity,BAO_0000375,,CHEMBL1641348,SLC22A8,Solute carrier family 22 member 8
CHEMBL3391749,PubChem BioAssay. A quantitative high throughput screen for small molecules that induce DNA re-replication in MCF 10a normal breast cells. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1293278,GMNN,Geminin
CHEMBL343633,PUBCHEM_BIOASSAY: Inhibitors of Regulator of G Protein Signaling (RGS) 4: qHTS. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504856],Potency,BAO_0000186,,CHEMBL1795091,RGS4,Regulator of G-protein signaling 4
CHEMBL350221,PUBCHEM_BIOASSAY: Cytometry Cell-Based qHTS for Inhibitors of the mTORC1 Signaling Pathway in MEF cells. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.63,CHEMBL2842,MTOR,Serine/threonine-protein kinase mTOR
CHEMBL343633,"PUBCHEM_BIOASSAY: qHTS Validation Assay for Inhibitors of Bloom&apos;s syndrome helicase (BLM). (Class of assay: confirmatory) [Related pubchem assays: 593 (Fluorescein region spectral profiling screen), 594 (Rhodamine region spectral profiling screen)]",Potency,BAO_0000186,8.55,CHEMBL1293237,BLM,Bloom syndrome protein
CHEMBL343633,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors and Activators of Human alpha-Galactosidase From Spleen Homogenate. (Class of assay: confirmatory) [Related pubchem assays: 1472, 1467 ]",Potency,BAO_0000186,5.45,CHEMBL2524,GLA,Alpha-galactosidase A
CHEMBL3527524,TP_TRANSPORTER: uptake in Xenopus laevis oocytes,Km,BAO_0000477,,CHEMBL1743123,SLCO1A2,Solute carrier organic anion transporter family member 1A2
CHEMBL35,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp3a4 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL340,CYP3A4,Cytochrome P450 3A4
CHEMBL350221,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Histone Lysine Methyltransferase G9a. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504404],Potency,BAO_0000186,,CHEMBL6032,EHMT2,"Histone-lysine N-methyltransferase, H3 lysine-9 specific 3"
CHEMBL350221,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Human Jumonji Domain Containing 2E (JMJD2E). (Class of assay: confirmatory) ,Potency,BAO_0000186,4.4,CHEMBL1293226,KDM4E,Lysine-specific demethylase 4D-like
CHEMBL350221,PUBCHEM_BIOASSAY: qHTS Validation Assay for Inhibitors of HP1-beta Chromodomain Interactions with Methylated Histone Tails. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID488962],Potency,BAO_0000186,,CHEMBL1741193,CBX1,Chromobox protein homolog 1
CHEMBL350221,PUBCHEM_BIOASSAY: qHTS assay for small molecule agonists of thyroid hormone receptor beta signaling. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1947,THRB,Thyroid hormone receptor beta-1
CHEMBL3392050,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp1a2 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL3356,CYP1A2,Cytochrome P450 1A2
CHEMBL3392072,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2d6 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,4.5,CHEMBL289,CYP2D6,Cytochrome P450 2D6
CHEMBL350221,PubChem BioAssay. qHTS assay for environmental chemicals that activate the Aryl hydrocarbon Receptor (AhR) signaling pathway. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL3201,AHR,Aryl hydrocarbon receptor
CHEMBL3391749,PubChem BioAssay. qHTS for Inhibitors of human tyrosyl-DNA phosphodiesterase 1 (TDP1): qHTS in cells in absence of CPT. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1075138,TDP1,Tyrosyl-DNA phosphodiesterase 1
CHEMBL3391759,"PubChem BioAssay. qHTS for Agonist of gsp, the Etiologic Mutation Responsible for Fibrous Dysplasia/McCune-Albright Syndrome: qHTS. (Class of assay: confirmatory) ",Potency,BAO_0000186,,CHEMBL4377,GNAS,"Guanine nucleotide-binding protein G(s), subunit alpha"
CHEMBL35,PUBCHEM_BIOASSAY: qHTS assay for small molecule antagonists of farnesoid X receptor signaling. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL2047,NR1H4,Bile acid receptor FXR
CHEMBL335062,PUBCHEM_BIOASSAY: qHTS Assay for Modulators of Lamin A Splicing. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.6,CHEMBL1293235,LMNA,Prelamin-A/C
CHEMBL324846,PUBCHEM_BIOASSAY: qHTS assay for small molecule agonists of glucocorticoid receptor signaling. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL2034,NR3C1,Glucocorticoid receptor
CHEMBL343633,PUBCHEM_BIOASSAY: qHTS Assay for Identification of Small Molecule Agonists for Thrombopoietin (TPO) Signaling Pathway. (Class of assay: confirmatory) [Related pubchem assays: 918 ],Potency,BAO_0000186,5.3,CHEMBL1293256,THPO,Thrombopoietin
CHEMBL3391759,PubChem BioAssay. qHTS for Inhibitors of human tyrosyl-DNA phosphodiesterase 1 (TDP1): qHTS in cells in absence of CPT. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1075138,TDP1,Tyrosyl-DNA phosphodiesterase 1
CHEMBL3391749,PubChem BioAssay. qHTS of TDP-43 Inhibitors. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL2362981,TARDBP,TAR DNA-binding protein 43
CHEMBL324846,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Potency,BAO_0000186,4.35,CHEMBL3577,ALDH1A1,Aldehyde dehydrogenase 1A1
CHEMBL350221,PUBCHEM_BIOASSAY: qHTS Assay for Modulators of Lamin A Splicing. (Class of assay: confirmatory) ,Potency,BAO_0000186,7.4,CHEMBL1293235,LMNA,Prelamin-A/C
CHEMBL3392074,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp3a4 Compounds with AC50 equal or less than 10 uM are considered active,AC50,BAO_0000186,,CHEMBL340,CYP3A4,Cytochrome P450 3A4
CHEMBL3527524,TP_TRANSPORTER: inhibition of Rocuronium uptake in Xenopus laevis oocytes,Activity,BAO_0000375,,CHEMBL1743123,SLCO1A2,Solute carrier organic anion transporter family member 1A2
CHEMBL350221,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO (15-human lipoxygenase). (Class of assay: confirmatory) ,Potency,BAO_0000186,4.6,CHEMBL2903,ALOX15,Arachidonate 15-lipoxygenase
CHEMBL3392056,PUBCHEM_BIOASSAY: qHTS Validation Assay for Inhibitors of HP1-beta Chromodomain Interactions with Methylated Histone Tails. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID488962],Potency,BAO_0000186,,CHEMBL1741193,CBX1,Chromobox protein homolog 1
CHEMBL3392050,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of HADH2 (Hydroxyacyl-Coenzyme A Dehydrogenase, Type II). (Class of assay: confirmatory) ",Potency,BAO_0000186,5.4,CHEMBL4159,HSD17B10,Endoplasmic reticulum-associated amyloid beta-peptide-binding protein
CHEMBL350221,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Histone Lysine Methyltransferase G9a: Hit Confirmation in b-rIgG Counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504404],Potency,BAO_0000186,,CHEMBL6032,EHMT2,"Histone-lysine N-methyltransferase, H3 lysine-9 specific 3"
CHEMBL3392072,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]",Potency,BAO_0000186,,CHEMBL2457,ALOX15B,"Arachidonate 15-lipoxygenase, type II"
CHEMBL350221,PUBCHEM_BIOASSAY: qHTS Assay for Agonists of the Thyroid Stimulating Hormone Receptor: Activators of Intracellular cAMP Concentrations in Parental HEK 293. (Class of assay: confirmatory) ,Potency,BAO_0000186,5.3,CHEMBL1963,TSHR,Thyroid stimulating hormone receptor
CHEMBL3350399,"Uptake of ([14C]- AA) mediated by sodium-dependent ascorbate transporters, SVCT2 measured as Michaelis-Menten constant (Kt)",Kt,BAO_0000179,,CHEMBL3271,SLC23A2,Sodium-dependent vitamin C transporter 2
